code,glottolog,ru,en,comment,lat,long
ab,abkh1244,абх.,Abkhaz,,43.056218,41.159115
abq,abaz1241,абаз.,Abaza,,44.25,42.0
abq-x-dial,abaz1241,абаз. (диал.),Abaza (dialectal),,44.25,42.0
ady,adyg1241,адыг.,Adyghe,,44.0,39.33
ady-x-abadz,abad1240,абадз.,Abzakh Adyghe,coordinates of Khakurinokhabl,45.02,40.23
ady-x-shpsg,shap1240,шапс.,Shapsug Adyghe,coordinates of Lazarevskoe,43.911111,39.338056
ae,aves1237,ав.,Avestan,,34.217,62.112
ae-x-gth,aves1237,ав. (гаты),Gathic Avestan,,34.217,62.112
agx,aghu1253,агул.,Aghul,,41.9242,47.5843
aii,assy1241,ассир.,Assyrian,,36.75,43.0
ain,ainu1252,айну,Ainu,I assume this is Japanese Ainu; coordinates of Hokkaido Ainu,43.63,142.46
akk,akka1240,аккад.,Akkadian,,33.1,44.1
akv,akhv1239,ахвах.,Akhvakh,,42.4003,46.3037
alt,sout2694,алт.,Altai,,50.1347,86.8705
alt-x-teleut,tele1257,телеут.,Teleut Altai,coordinates of Chelukhoevo,54.3672,86.2156
ang,olde1238,англос.,Old English,,51.06,-1.31
ani,andi1255,анд.,Andi,,42.8078,46.2919
aqc,arch1244,арчин.,Archi,,42.3239,46.8267
ar,stan1318,араб.,Arabic,,27.9625,43.8525
arc,impe1235,арам.,Aramaic,,33.905,42.185
av,avar1256,авар.,Avar,,41.7047,46.558
az,mode1262,азерб.,Azerbaijani,coordinates of North Azerbaijani,40.98,46.47
ba,bash1264,башк.,Bashkir,,53.59671,56.55937
bat,east2280,балт.,Baltic,coordinates of Lithuanian,55.14,23.96
bbl,bats1242,туш.,Bats,,42.1806,45.344
bdk,budu1248,будух.,Budugh,,41.2272,48.3353
be,bela1254,белорусс.,Belarusian,,53.2307,25.6038
bg,bulg1262,болг.,Bulgarian,,43.3646,25.047
bgn,west2368,бел. (зап.),Western Balochi,,37.83,62.17
bgp,east2304,бел. (вост.),Eastern Balochi,,28.0,62.0
bo,tibe1272,тибет.,Tibetan,,28.3681,90.1872
bph,botl1242,ботл.,Botlikh,,42.665,46.22
br,bret1244,брет.,Breton,,48.2452,-3.78934
brh,brah1256,брахуи,Brahui,,29.04,66.56
bsk,buru1296,верш.,Burushaski,,36.2161,74.8236
bua,buri1258,монг. бурят.,Buryat,coordinates of Russia Buriat,50.85,105.56
cau,0,кавк.,Caucasian,coordinates of the Caucasus (wiki),42.261111,44.121111
ccs,kart1248,картв.,South Caucasian,coordinates of Georgian,41.85,43.79
ce,chec1245,чеч.,Chechen,,43.5,45.5
cel,celt1248,кельт.,Celtic,coordinates of Breton,48.25,-3.79
chg,chag1247,чагат.,Chagatai,,38.21146,57.88758
chm,mari1278,мар.,Mari,coordinates of Mari El,56.52,46.252
cji,cham1309,чамал.,Chamalal,,42.5024,45.995
cjs,shor1247,шор.,Shor,,52.32607,88.4344
ckb,cent1972,сорани,Sorani,,35.6539,45.8077
ckb-x-kndln,cent1972,кандулан,Sorani (Kandulan),I assume this is Sorani; add coordinates!,35.6539,45.8077
cmg,halh1238,монг. письм.,Classical Mongolian,,48.32397,106.28874
crh,crim1257,татар. (крым.),Crimean Tatar,,45.0,34.08
cs,czec1258,чеш.,Czech,,49.873398,15.10437
cu,chur1257,ст.слав.,Old Church Slavonic,,43.7171,22.8442
cu-x-bg,chur1257,др.болг.,Old Bulgarian,add coordinates,43.7171,22.8442
cv,chuv1255,чув.,Chuvash,,55.48701,47.16298
cy,wels1247,валл.,Welsh,,52.0,-4.0
cy-x-cymr,wels1247,кимр.,Cymric,might be Old Welsh?,52.0,-4.0
da,dani1285,дат.,Danish,,54.8655,9.36284
dar,darg1242,дарг.,Dargwa,coordinates of Aqusha,42.2665,47.3439
dar-x-aqusha,akus1238,акуш.,Aqusha Dargwa,,42.2665,47.3439
dar-x-kaitag,kajt1238,кайт.,Kaitag Dargwa,,42.052428,47.776611
ddo,dido1241,дид.,Tsez,,42.2646,45.8096
de,stan1295,нем.,German,,48.649,12.4676
de-x-dial,high1289,нем. (диал.),German (dialectal),for Glottolog I assume it is High German because the dialects belong to distinct branches; same coords as German,48.649,12.4676
dsb,lowe1385,нижне-луж.,Lower Sorbian,,51.6621,13.9407
egy,egyp1246,древнеегипетский,Ancient Egyptian,,28.381735,30.834959
el,mode1248,н.гр.,Modern Greek,,38.36,23.13
elx,elam1244,элам.,Elamite,,31.1833,48.2333
en,stan1293,англ.,English,,53.0,-1.0
es,stan1288,исп.,Spanish,,40.4414,-1.11788
et,esto1258,эст.,Estonian,,58.55,25.82
eu,basq1248,баск.,Basque,,43.2787,-1.31622
evn,even1259,эвенк.,Evenki,,61.972,94.689
fa,fars1255,перс.,Persian,coordinates of Western Farsi,32.90,53.30
fa-x-dial,fars1255,перс. (диал.),Persian (dialectal),coordinates of Western Farsi,32.90,53.30
fa-x-krmns,kerm1248,перс. (кирманшах.),Persian (Kermanshah),,34.314167,47.065
fi,finn1318,фин.,Finnish,,64.7628,25.5577
fi-x-dial,finn1318,фин. (диал.),Finnish (dialectal),,64.7628,25.5577
fr,stan1290,фр.,French,,48.0,2.0
fro,oldf1239,ст.фр.,Old French,,48.8,1.11
frp,fran1260,фр. (прованс.),Franco-Provençal,,45.8051,6.48152
frs,sate1242,фриз. (вост.),East Frisian,,53.117,7.721
fy,fris1239,фриз.,Frisian,"chose West as the largest branch, but not certain",53.14,5.86
ga,iris1253,ирл.,Irish,,53.2186,-7.61509
gbz,gabr1257,габри,Zoroastrian Dari,,31.82,54.45
gbz-x-yzd,zoro1242,язди,Yazdi,,31.8161,54.4469
gdo,ghod1238,годобер.,Godoberi,,42.7428,46.2252
gem,germ1287,герм.,Germanic,coordinates of Ostfränkisch: roughly at the middle of the are of Modern Germanic,50.01,8.62
gem-x-old,germ1287,др.герм.,Old Germanic,,-99,-99
glk,gila1241,гилян.,Gilaki,,37.1344,49.8359
gmh,midd1343,ср.в.нем.,Middle High German,,48.254,10.599
gml,midd1318,ср.н.нем.,Middle Low German,,53.14,9.67
gmq,nort3160,сканд.,Scandinavian,rarely used; coordinates of Old Norse,63.42,10.38
goh,oldh1241,др.в.нем.,Old High German,,52.0,10.0
got,goth1244,гот.,Gothic,,46.9304,29.9786
got-x-crm,crim1255,гот. (крым.),Crimean Gothic,,45.3,34.4
grc,anci1242,гр.,Greek,,39.8155,21.9129
grc-x-doric,dori1248,гр. дор.,Doric Greek,coordinates of Greek Epirus,39.6,20.8
hac,gura1251,гуран.,Gorani,,36.8377,44.4956
hbo,anci1244,др.евр.,Hebrew,,31.7761,35.1725
hi,hind1269,хинди,Hindi,,25.0,77.0
hit,hitt1242,хетт.,Hittite,,40.0,35.0
hr,croa1245,хорв.,Croatian,,45.555,15.982
hu,hung1274,венг.,Hungarian,,46.9068585714,19.6555271429
huz,hunz1247,гунзиб.,Hunzib,,42.0808,46.1369
iir,indo1320,ар.,Aryan,,-99,-99
inc,indo1321,инд.,Indo-Aryan,coordinates of country India,21,78
inc-x-mid,midd1375,ср.инд.,Middle Indic,coordinates of country India,21,78
inc-x-nnew,indo1324,северные новоиндийские диалекты,North New Indic dialects,coordinates of Delhi,28.61,77.23
inc-x-old,sans1269,др.инд.,Old Indic,,20.0,77.0
ine,indo1319,и.е.,Indo-European,,-99,-99
inh,ingu1240,инг.,Ingush,,43.11,45.03
ira,iran1269,иран.,Iranian,,-99,-99
ira-x-mid,iran1269,ср.иран.,Middle Iranian,,-99,-99
is,icel1247,исл.,Icelandic,,63.4837,-19.0212
isk,ishk1246,пам. ишк.,Ishkashimi,,36.67,71.55
it,ital1282,ит.,Italian,,43.0464,12.6489
ja,nucl1643,япон.,Japanese,,35.0,135.0
ka,nucl1302,груз.,Georgian,,41.850397,43.78613
ka-x-clq,nucl1302,груз. (разг.),Georgian (colloquial),,41.850397,43.78613
ka-x-dial,nucl1302,груз. (диал.),Georgian (dialectal),,41.850397,43.78613
ka-x-guria,guri1246,груз. (гур.),Gurian Georgian,,41.966667,42.2
ka-x-imer,imer1248,груз. (имер.),Imeretian Georgian,,42.166667,42.983333
ka-x-ingiloy,ingi1240,груз. (ингил.),Ingiloy Georgian,coordinates of Zaqatala,41.633611,46.643333
ka-x-khevsur,xevs1238,груз. (хевсур.),Khevsur Georgian,,42.4883,44.87915
ka-x-lchkhm,rach1238,груз. (лечхум.),Lechkhumi Georgian,,42.649722,42.759722
ka-x-mokhev,moxe1238,груз. (мохев.),Mokhevian Georgian,coordinates of Khevi,42.6975,44.519
ka-x-pshav,psha1238,груз. (пшав.),Pshavian Georgian,,42.283333,44.75
ka-x-rachian,rach1238,груз. (рачин.),Rachian Georgian,,42.636111,43.436111
kaa,kara1467,каракалп.,Kara-Kalpak,,39.98005,63.32233
xas,kama1351,камас.,Kamas,,55.07,94.83
kap,bezh1248,капуч.,Bezhta,,42.1206,46.0332
kbd,kaba1278,каб.,Kabardian,,43.5082,43.3918
kbd-x-crc,kaba1278,черк.,Circassian,add coordinates to distinguish Kabardian and Circassian?,43.5082,43.3918
kbd-x-crc-dial,kaba1278,черк. (диал.),Circassian (dialectal),,43.5082,43.3918
kbd-x-crc-west,kaba1278,черк. (зап.),Circassian (western),probably distinct from West Circassian (= Adyghe),43.5082,43.3918
kbd-x-dial,kaba1278,каб. (диал.),Kabardian (dialectal),,43.5082,43.3918
kca,khan1279,ханты,Khanty,coordinates of Kazym Khanty,62.43,66.12
kdr,kara1464,караим.,Karaim,,54.5534,25.1054
kho,khot1251,сак.,Saka,,38.33,79.04
khv,xvar1237,хварш.,Khwarshi,,42.27,46.00
khw,khow1242,ховар.,Khowar,,36.0,72.0
khw-x-chtr,sout2670,читр.,Khowar (Chitral),"I assume this is Khowar, the language spoken in Chitral in Pakistan. For Glottolog I assume it’s southern Khowar, but this is preliminary",35.846111,71.785833
kjh,khak1248,хакас.,Khakas,coordinates of Askiz (the Glottolog coordinates may be a mistake),53.1283,90.538
kjh-sghy,saga1260,хакас. (сагайск.),Saghay Khakas,,53.1283,90.538
kjj,khin1240,хиналуг.,Khinalugh,,41.1801,48.0571
